o***z ( 60) ,5,Beautiful! Very professional certification. Huge!,2013-12-27,
s***s ( 207) ,5,Quick delivery.Great communication.Thanx for pleasent experience,2013-12-27,
h***9 ( 122) ,5,Thank you fast shipping and great ring for the price she said yes,2013-12-26,
b***9 ( 9 ) ,5,Excellent store,2013-12-25,
j***o ( 284) ,5,"Fantastic, super fast shipping, best company on Ebay!!!!",2013-12-25,
y***9 ( 24) ,5,Outstanding Ebayer. Product and Shipping were perfect!!,2013-12-24,
r***y ( 10) ,5,"Fast, and fair. Great customer service",2013-12-24,
c***n ( 187) ,5,Great Transaction!,2013-12-24,
a***2 ( 98) ,5,You are the best she is so happy and thanks for the fast shipping.AAAAAAAA,2013-12-23,
.***z ( 1 ) ,5,"Received package in time and it exceeded my expectation, also got earrings!!",2013-12-23,
d***t ( 238) ,5,"Richard the earrings came on Saturday everything is great Thanks, and happy holi",2013-12-23,
l***o ( 41) ,5,"My best eBay experience ever, top customer care, and AMAZING product RECOMMEND!!",2013-12-19,
7***7 ( 268) ,5,Awsome I love it!! Thank You,2013-12-18,
k***r ( 19) ,5,happy,2013-12-18,
c***e ( 112) ,5,This is an awesome ring. Thank you for all your help.,2013-12-17,
1***1 ( 166) ,5,Prompt shipment. Excellent seller. Got exactly what I bought. A+++++++++,2013-12-17,
e***e ( 436) ,5,"Far exceeded my expectations, more sparkle than any other man-made diamond ever!",2013-12-16,
u***j ( 104) ,5,Item as described and shipped quickly.,2013-12-16,
b***u ( 215) ,5,"Breath taking quality! Great service, fast shipping. Bravo!",2013-12-16,
i***a ( 141) ,5,Absolutely amazing. Thank you so much! You have my faithful patronage.,2013-12-14,
m***b ( 124) ,5,This item looks amazing. The presentation is incredible. A++,2013-12-14,
l***l ( 129) ,5,"Beautiful, fast shipping, great customer service!",2013-12-14,
a***b ( 6 ) ,5,very good experience,2013-12-12,
x***e ( 2 ) ,5,"Great customer service and product!! Couldn't be more happy...great boxes too, l",2013-12-11,
_***t ( 13) ,5,Item was perfectly described. Excellent communication. Will buy from again.,2013-12-10,
r***s ( 109) ,5,Thank you,2013-12-10,
s***s ( 160) ,5,WOW ! SUPER DUPER PRODUCT! free earrings with the ring too!I`m impressed !,2013-12-10,
o***d ( 128) ,5,Super fast shipping and AMAZING ring!! She loves it!!!!,2013-12-06,
c***a ( 97) ,5,My rings are positively STUNNING and they fit to a T! +++++SUPER transaction!!!,2013-12-05,
k***p ( 62) ,5,Amazing communication well respected seller very helpful thank u,2013-12-05,
t***l ( 245) ,5,Another Beautiful Work of Art from this seller *****STARS ACROSS BOARD**********,2013-12-05,
s***6 ( 94) ,5,Very nice thank you!,2013-12-04,
t***n ( 32) ,5,great transaction ! thanks,2013-12-02,
9***9 ( 101) ,5,Thk you!!!! Very nice,2013-12-01,
g***n ( 1059) ,5,This ring is just gorgeous. Thanks you soooooo much!!!,2013-12-01,
6***o ( 7 ) ,5,I love the ring thank you,2013-11-29,
0***0 ( 68) ,5,Very Satisfied. Thanks for the extra item!,2013-11-27,
c***l ( 108) ,5,Great doing business with you! Thank you!!! Beautiful items!!!!,2013-11-26,
s***y ( 15) ,5,Fast shipping :) love the ring and great earrings! Thank you! ,2013-11-25,
Seller: Member id katespadenewyork ( Feedback Score Of 11553) ,5,enjoy your kate spade new york on ebay purchase! thank you for being the best!,2013-11-24,
t***d ( 128) ,5,THE BEST customer service I've ever experienced. The ring was as promised!!,2013-11-24,
t***l ( 245) ,5,This seller ROCKS!!! Trusted and Highly Recommended!! A+++++++++++++++++++,2013-11-20,
a***i ( 8 ) ,5,The ring is stunning... love it... definitly we will be buying again..thanks,2013-11-20,
t***l ( 245) ,5,Highly recommended and trusted seller A++++++++,2013-11-18,
s***r ( 4 ) ,5,"Exactly as advertised, and she loved it when I asked the question. Great company",2013-11-18,
a***0 ( 75) ,5,Very nice ring,2013-11-13,
o***d ( 36) ,5,Amazing product and perfect customer service! Thanks so much!!!,2013-11-09,
b***m ( 16) ,5,Great with keeping me informed on status of order. ,2013-11-08,
p***i ( 1 ) ,5,We love our ring!!! Thank you answering all my questions and delivering on time.,2013-11-08,
d***k ( 6 ) ,5,Love the ring and the earrings!,2013-11-07,
8***0 ( 170) ,5,Beautiful ring! Loved the earrings too. Thanks so much!!! Love it. ,2013-11-04,
r***a ( 96) ,5,LOVED the ring!!!,2013-11-03,
b***s ( 116) ,5,This is an excellent Seller. She loved it! WDBA!,2013-11-01,
o***d ( 282) ,5,A++++ seller. Item was more than I expected. Professionally boxed. Impressed.,2013-10-30,
3***3 ( 133) ,5,Super!,2013-10-26,
j***n ( 231) ,5,beautiful ring worked well will marry next sept,2013-10-26,
j***n ( 231) ,5,beautiful ring worked will marry next Sept,2013-10-26,
e***f ( 38) ,5,Great,2013-10-24,
h***h ( 104) ,5,MORE BEAUTIFUL IN PERSON!,2013-10-22,
n***e ( 27) ,5,Fast shipping. Ring is beautiful,2013-10-22,
1***1 ( 8 ) ,5,I love love love my ring. This picture does it no justice. It's even prettier,2013-10-22,
1***1 ( 15) ,5,Beautiful Ring would buy from again,2013-10-22,
0***0 ( 132) ,5,Super!,2013-10-21,
7***7 ( 160) ,5,Absolutely amazing product. We have received tons of compliments on the ring.,2013-10-21,
d***i ( 9 ) ,5,Let me know if my order went thru and remember the ring needs to be sized 6 3/4,2013-10-21,
e***i ( 31) ,5,"Awesome product, quick turn around time!",2013-10-19,
j***e (private) ,5,I'm impressed & pleased. 5 stars across the board. Thanks for selling on ebay.,2013-10-18,
c***d ( 104) ,5,A+ thank you!,2013-10-17,
c***p ( 205) ,5,Great doing business with!!!!!!!!,2013-10-17,
l***a ( 780) ,5,"GREAT COMMUNICATION... FAST SHIPPING GODD ALL AROUND, NICE RING",2013-10-16,
p***i ( 347) ,5,"Gorgeous ring! Great customer service, will buy again! Thanks",2013-10-16,
c***e ( 27) ,5,Seller very serious and responsible my money was refund very fast thanks,2013-10-16,
n***n ( 22) ,5,ABSOLUTELY GREAT !!!!!!! VERY VERY VERY HAPPY ! Thank you for the extra earings,2013-10-08,
c***e ( 18) ,5,Gorgeous! So much better than I expected.,2013-10-08,
u***u ( 85) ,5,"super fast shipping, seller was very on top of things!",2013-10-07,
n***3 ( 299) ,5,very good to do business with,2013-10-06,
c***b ( 87) ,5,Fast shipping A+ service will do business with again,2013-10-02,
s***s ( 24) ,5,Great ebayer. I would do business with again. Thx!,2013-10-02,
9***l ( 402) ,5,Absolutely love my ring & earrings! Fast & easy transaction! Best Seller!,2013-10-01,
