Beautiful! Very professional certification. Huge!,Buyer: o***z ( 60) ,Dec-27-13 11:03
Quick delivery.Great communication.Thanx for pleasent experience,Buyer: s***s ( 207) ,Dec-27-13 10:23
Thank you fast shipping and great ring for the price she said yes,Buyer: h***9 ( 122) ,Dec-26-13 18:11
Excellent store,Buyer: b***9 ( 9 ) ,Dec-25-13 20:22
"Fantastic, super fast shipping, best company on Ebay!!!!",Buyer: j***o ( 284) ,Dec-25-13 14:03
Outstanding Ebayer. Product and Shipping were perfect!!,Buyer: y***9 ( 24) ,Dec-24-13 12:50
"Fast, and fair. Great customer service",Buyer: r***y ( 10) ,Dec-24-13 12:17
Great Transaction!,Buyer: c***n ( 187) ,Dec-24-13 09:56
You are the best she is so happy and thanks for the fast shipping.AAAAAAAA,Buyer: a***2 ( 98) ,Dec-23-13 18:10
"Received package in time and it exceeded my expectation, also got earrings!!",Buyer: .***z ( 1 ) ,Dec-23-13 17:38
"Richard the earrings came on Saturday everything is great Thanks, and happy holi",Buyer: d***t ( 238) ,Dec-23-13 11:36
"My best eBay experience ever, top customer care, and AMAZING product RECOMMEND!!",Buyer: l***o ( 41) ,Dec-19-13 19:40
Awsome I love it!! Thank You,Buyer: 7***7 ( 268) ,Dec-18-13 16:01
happy,Buyer: k***r ( 19) ,Dec-18-13 09:39
This is an awesome ring. Thank you for all your help.,Buyer: c***e ( 112) ,Dec-17-13 14:34
Prompt shipment. Excellent seller. Got exactly what I bought. A+++++++++,Buyer: 1***1 ( 166) ,Dec-17-13 10:35
"Far exceeded my expectations, more sparkle than any other man-made diamond ever!",Buyer: e***e ( 436) ,Dec-16-13 19:26
Item as described and shipped quickly.,Buyer: u***j ( 104) ,Dec-16-13 08:37
"Breath taking quality! Great service, fast shipping. Bravo!",Buyer: b***u ( 215) ,Dec-16-13 08:02
Absolutely amazing. Thank you so much! You have my faithful patronage.,Buyer: i***a ( 141) ,Dec-14-13 15:00
This item looks amazing. The presentation is incredible. A++,Buyer: m***b ( 124) ,Dec-14-13 09:43
"Beautiful, fast shipping, great customer service!",Buyer: l***l ( 129) ,Dec-14-13 06:57
very good experience,Buyer: a***b ( 6 ) ,Dec-12-13 19:58
"Great customer service and product!! Couldn't be more happy...great boxes too, l",Buyer: x***e ( 2 ) ,Dec-11-13 23:27
Item was perfectly described. Excellent communication. Will buy from again.,Buyer: _***t ( 13) ,Dec-10-13 19:59
Thank you,Buyer: r***s ( 109) ,Dec-10-13 18:45
WOW ! SUPER DUPER PRODUCT! free earrings with the ring too!I`m impressed !,Buyer: s***s ( 160) ,Dec-10-13 09:27
Super fast shipping and AMAZING ring!! She loves it!!!!,Buyer: o***d ( 128) ,Dec-06-13 11:46
My rings are positively STUNNING and they fit to a T! +++++SUPER transaction!!!,Buyer: c***a ( 97) ,Dec-05-13 16:03
Amazing communication well respected seller very helpful thank u,Buyer: k***p ( 62) ,Dec-05-13 12:19
Another Beautiful Work of Art from this seller *****STARS ACROSS BOARD**********,Buyer: t***l ( 245) ,Dec-05-13 04:22
Very nice thank you!,Buyer: s***6 ( 94) ,Dec-04-13 11:51
great transaction ! thanks,Buyer: t***n ( 32) ,Dec-02-13 09:14
Thk you!!!! Very nice,Buyer: 9***9 ( 101) ,Dec-01-13 23:25
This ring is just gorgeous. Thanks you soooooo much!!!,Buyer: g***n ( 1059) ,Dec-01-13 08:06
