Beautiful! Very professional certification. Huge!,5,Buyer: o***z ( 60) ,2013-12-27
Quick delivery.Great communication.Thanx for pleasent experience,5,Buyer: s***s ( 207) ,2013-12-27
Thank you fast shipping and great ring for the price she said yes,5,Buyer: h***9 ( 122) ,2013-12-26
Excellent store,5,Buyer: b***9 ( 9 ) ,2013-12-25
"Fantastic, super fast shipping, best company on Ebay!!!!",5,Buyer: j***o ( 284) ,2013-12-25
Outstanding Ebayer. Product and Shipping were perfect!!,5,Buyer: y***9 ( 24) ,2013-12-24
"Fast, and fair. Great customer service",5,Buyer: r***y ( 10) ,2013-12-24
Great Transaction!,5,Buyer: c***n ( 187) ,2013-12-24
You are the best she is so happy and thanks for the fast shipping.AAAAAAAA,5,Buyer: a***2 ( 98) ,2013-12-23
"Received package in time and it exceeded my expectation, also got earrings!!",5,Buyer: .***z ( 1 ) ,2013-12-23
"Richard the earrings came on Saturday everything is great Thanks, and happy holi",5,Buyer: d***t ( 238) ,2013-12-23
"My best eBay experience ever, top customer care, and AMAZING product RECOMMEND!!",5,Buyer: l***o ( 41) ,2013-12-19
Awsome I love it!! Thank You,5,Buyer: 7***7 ( 268) ,2013-12-18
happy,5,Buyer: k***r ( 19) ,2013-12-18
This is an awesome ring. Thank you for all your help.,5,Buyer: c***e ( 112) ,2013-12-17
Prompt shipment. Excellent seller. Got exactly what I bought. A+++++++++,5,Buyer: 1***1 ( 166) ,2013-12-17
"Far exceeded my expectations, more sparkle than any other man-made diamond ever!",5,Buyer: e***e ( 436) ,2013-12-16
Item as described and shipped quickly.,5,Buyer: u***j ( 104) ,2013-12-16
"Breath taking quality! Great service, fast shipping. Bravo!",5,Buyer: b***u ( 215) ,2013-12-16
Absolutely amazing. Thank you so much! You have my faithful patronage.,5,Buyer: i***a ( 141) ,2013-12-14
This item looks amazing. The presentation is incredible. A++,5,Buyer: m***b ( 124) ,2013-12-14
"Beautiful, fast shipping, great customer service!",5,Buyer: l***l ( 129) ,2013-12-14
very good experience,5,Buyer: a***b ( 6 ) ,2013-12-12
"Great customer service and product!! Couldn't be more happy...great boxes too, l",5,Buyer: x***e ( 2 ) ,2013-12-11
Item was perfectly described. Excellent communication. Will buy from again.,5,Buyer: _***t ( 13) ,2013-12-10
Thank you,5,Buyer: r***s ( 109) ,2013-12-10
WOW ! SUPER DUPER PRODUCT! free earrings with the ring too!I`m impressed !,5,Buyer: s***s ( 160) ,2013-12-10
Super fast shipping and AMAZING ring!! She loves it!!!!,5,Buyer: o***d ( 128) ,2013-12-06
My rings are positively STUNNING and they fit to a T! +++++SUPER transaction!!!,5,Buyer: c***a ( 97) ,2013-12-05
Amazing communication well respected seller very helpful thank u,5,Buyer: k***p ( 62) ,2013-12-05
Another Beautiful Work of Art from this seller *****STARS ACROSS BOARD**********,5,Buyer: t***l ( 245) ,2013-12-05
Very nice thank you!,5,Buyer: s***6 ( 94) ,2013-12-04
great transaction ! thanks,5,Buyer: t***n ( 32) ,2013-12-02
Thk you!!!! Very nice,5,Buyer: 9***9 ( 101) ,2013-12-01
This ring is just gorgeous. Thanks you soooooo much!!!,5,Buyer: g***n ( 1059) ,2013-12-01
I love the ring thank you,5,Buyer: 6***o ( 7 ) ,2013-11-29
Very Satisfied. Thanks for the extra item!,5,Buyer: 0***0 ( 68) ,2013-11-27
Great doing business with you! Thank you!!! Beautiful items!!!!,5,Buyer: c***l ( 108) ,2013-11-26
Fast shipping :) love the ring and great earrings! Thank you! ,5,Buyer: s***y ( 15) ,2013-11-25
enjoy your kate spade new york on ebay purchase! thank you for being the best!,5,Seller: Member id katespadenewyork ( Feedback Score Of 11553) ,2013-11-24
THE BEST customer service I've ever experienced. The ring was as promised!!,5,Buyer: t***d ( 128) ,2013-11-24
This seller ROCKS!!! Trusted and Highly Recommended!! A+++++++++++++++++++,5,Buyer: t***l ( 245) ,2013-11-20
The ring is stunning... love it... definitly we will be buying again..thanks,5,Buyer: a***i ( 8 ) ,2013-11-20
Highly recommended and trusted seller A++++++++,5,Buyer: t***l ( 245) ,2013-11-18
"Exactly as advertised, and she loved it when I asked the question. Great company",5,Buyer: s***r ( 4 ) ,2013-11-18
Very nice ring,5,Buyer: a***0 ( 75) ,2013-11-13
Amazing product and perfect customer service! Thanks so much!!!,5,Buyer: o***d ( 36) ,2013-11-09
Great with keeping me informed on status of order. ,5,Buyer: b***m ( 16) ,2013-11-08
We love our ring!!! Thank you answering all my questions and delivering on time.,5,Buyer: p***i ( 1 ) ,2013-11-08
Love the ring and the earrings!,5,Buyer: d***k ( 6 ) ,2013-11-07
Beautiful ring! Loved the earrings too. Thanks so much!!! Love it. ,5,Buyer: 8***0 ( 170) ,2013-11-04
LOVED the ring!!!,5,Buyer: r***a ( 96) ,2013-11-03
This is an excellent Seller. She loved it! WDBA!,5,Buyer: b***s ( 116) ,2013-11-01
A++++ seller. Item was more than I expected. Professionally boxed. Impressed.,5,Buyer: o***d ( 282) ,2013-10-30
Super!,5,Buyer: 3***3 ( 133) ,2013-10-26
beautiful ring worked well will marry next sept,5,Buyer: j***n ( 231) ,2013-10-26
beautiful ring worked will marry next Sept,5,Buyer: j***n ( 231) ,2013-10-26
Great,5,Buyer: e***f ( 38) ,2013-10-24
MORE BEAUTIFUL IN PERSON!,5,Buyer: h***h ( 104) ,2013-10-22
Fast shipping. Ring is beautiful,5,Buyer: n***e ( 27) ,2013-10-22
I love love love my ring. This picture does it no justice. It's even prettier,5,Buyer: 1***1 ( 8 ) ,2013-10-22
Beautiful Ring would buy from again,5,Buyer: 1***1 ( 15) ,2013-10-22
Super!,5,Buyer: 0***0 ( 132) ,2013-10-21
Absolutely amazing product. We have received tons of compliments on the ring.,5,Buyer: 7***7 ( 160) ,2013-10-21
Let me know if my order went thru and remember the ring needs to be sized 6 3/4,5,Buyer: d***i ( 9 ) ,2013-10-21
"Awesome product, quick turn around time!",5,Buyer: e***i ( 31) ,2013-10-19
I'm impressed & pleased. 5 stars across the board. Thanks for selling on ebay.,5,Buyer: j***e (private) ,2013-10-18
A+ thank you!,5,Buyer: c***d ( 104) ,2013-10-17
Great doing business with!!!!!!!!,5,Buyer: c***p ( 205) ,2013-10-17
"GREAT COMMUNICATION... FAST SHIPPING GODD ALL AROUND, NICE RING",5,Buyer: l***a ( 780) ,2013-10-16
"Gorgeous ring! Great customer service, will buy again! Thanks",5,Buyer: p***i ( 347) ,2013-10-16
Seller very serious and responsible my money was refund very fast thanks,5,Buyer: c***e ( 27) ,2013-10-16
ABSOLUTELY GREAT !!!!!!! VERY VERY VERY HAPPY ! Thank you for the extra earings,5,Buyer: n***n ( 22) ,2013-10-08
Gorgeous! So much better than I expected.,5,Buyer: c***e ( 18) ,2013-10-08
"super fast shipping, seller was very on top of things!",5,Buyer: u***u ( 85) ,2013-10-07
very good to do business with,5,Buyer: n***3 ( 299) ,2013-10-06
Fast shipping A+ service will do business with again,5,Buyer: c***b ( 87) ,2013-10-02
Great ebayer. I would do business with again. Thx!,5,Buyer: s***s ( 24) ,2013-10-02
Absolutely love my ring & earrings! Fast & easy transaction! Best Seller!,5,Buyer: 9***l ( 402) ,2013-10-01
Great seller!!,5,Buyer: e***l ( 91) ,2013-10-01
Thank you!!! Super serviceAAAAA++++,5,Buyer: i***6 ( 312) ,2013-10-01
Great,5,Buyer: m***2 ( 9 ) ,2013-10-01
Shipping time was fast and on time as promised. The ring is even more beautiful ,5,Buyer: t***t ( 20) ,2013-10-01
Thank You!,5,Buyer: w***m ( 392) ,2013-09-30
Beautiful ring wonderful business,5,Buyer: s***r ( 20) ,2013-09-29
Received item in good condition in timely manner.,5,Buyer: r***y ( 35) ,2013-09-27
Good customer service and support ,5,Buyer: o***i ( 3 ) ,2013-09-26
LOVE IT!!! And thank you so much for the earrings too - I'm impressed & pleased,5,Buyer: e***6 ( 82) ,2013-09-25
A++++++++++++++++++++++++++++++++,5,Buyer: e***e ( 189) ,2013-09-24
awesome ring fast shipment A+++++++++++++++++,5,Buyer: e***o ( 274) ,2013-09-24
I loved it..she loved it. Great communication ,5,Buyer: k***i ( 375) ,2013-09-23
Prompt Refund given....thanks. Decided to get her real diamond ring,5,Buyer: w***g ( 1723) ,2013-09-22
stunning ring plus free stud earings awesome,5,Buyer: s***1 ( 238) ,2013-09-22
I really recommend this store my ring I got it on time an is soooo bootifull,5,Buyer: b***a ( 10) ,2013-09-22
Absolutely stunning and brilliant ring! 100% satisfied customers!!! A+ Thank you,5,Buyer: s***b ( 3 ) ,2013-09-21
"Great seller!! Loved the gift surprise, definitely buying from them again!!!!!",5,Buyer: m***s ( 14) ,2013-09-18
Beautiful. ,5,Buyer: a***k ( 44) ,2013-09-18
Excellent seller! Fabulous to work with. Beautiful ring. ,5,Buyer: c***e ( 2184) ,2013-09-17
Fast shipping...Beautiful item..,5,Buyer: h***a ( 27) ,2013-09-14
Item as described,5,Buyer: h***h ( 59) ,2013-09-13
"Returned item, however seller Great.",5,Buyer: n***e ( 561) ,2013-09-12
Beautiful ring. The center stone is big! A little too big but BEAUTIFUL. ,5,Buyer: e***0 ( 8 ) ,2013-09-11
ABSOLUTELY LOVE THE RING WE PURCHASED! Agape deserves 10 stars! ,5,Buyer: e***t ( 373) ,2013-09-06
This is a gift hope she likes as much as I do Just what I had expected.,5,Buyer: s***w ( 65) ,2013-09-05
wow it's perfect,5,Buyer: e***4 ( 97) ,2013-08-31
VERY HAPPY WOULD BUY AGAIN AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,5,Buyer: c***d ( 356) ,2013-08-29
If you're buying jewelry GO TO AGAPE!! Great communication/great transaction!,5,Buyer: a***e ( 19) ,2013-08-28
Outstanding service love the ring AAAAA+++++ Thanks,5,Buyer: k***s ( 1258) ,2013-08-26
A++++++,5,Buyer: e***1 ( 237) ,2013-08-26
Great communication,5,Buyer: _***b ( 122) ,2013-08-22
Thanks for the ring. AMAZING!!!,5,Buyer: 1***1 ( 376) ,2013-08-21
My ring is absolutely spectacular! Thank you so much!,5,Buyer: n***n ( 3 ) ,2013-08-20
The best jewelry is right here! A++++++ seller! Super happy....Thank you! !!!!,5,Buyer: 1***3 ( 301) ,2013-08-20
Thanks,5,Buyer: u***o ( 412) ,2013-08-18
"Unbelievable product, wish I could leave 6 stars!!!!! ",5,Buyer: 8***8 ( 94) ,2013-08-17
amazing!!! highly recommended! excelent product and service!,5,Buyer: c***d ( 145) ,2013-08-16
"Awesome service and exceptional products, thanks for all *****",5,Buyer: c***l ( 157) ,2013-08-16
"Instant Payment, Perfect buyer, Seller could not have asked for better A+++++++",5,Buyer: h***g ( 179) ,2013-08-13
Eventhough i return the item the communication was very smooth,5,Buyer: t***e ( 114) ,2013-08-13
Beautiful ring and great company! Thank you!,5,Buyer: a***s ( 124) ,2013-08-11
"very beautiful, nice earings, fast delivery...... very happy",5,Buyer: e***7 ( 48) ,2013-08-09
Super fast shipping and excellent price! Absolutely stunning<3 ,5,Buyer: 6***6 ( 80) ,2013-08-09
Perfect fit packed awesome awesome ring and free gift !,5,Buyer: c***t ( 224) ,2013-08-08
Absolutely the most perfect ring ever thank u so much Wonderful fast service,5,Buyer: a***x ( 1 ) ,2013-08-08
most amazing piece of jewelry i own. so beautiful. thank you.,5,Buyer: i***n ( 196) ,2013-08-08
Item exactly as described. Excellent eBay seller!,5,Buyer: t***r ( 417) ,2013-08-07
"beautiful, more than expected",5,Buyer: j***8 ( 19) ,2013-08-07
Product as described - wife loves the rings,5,Buyer: 1***1 ( 10) ,2013-08-07
Great Seller A+++ fast shpping and GREAT customer service!!,5,Buyer: b***a ( 193) ,2013-08-05
I put this ring with a real diamond wedding band and they look dazzling!,5,Buyer: 7***7 ( 162) ,2013-08-04
Great thank you,5,Buyer: 4***4 ( 344) ,2013-08-03
great great rings best delivery service cant wait to order my next set of rings,5,Buyer: s***r ( 497) ,2013-08-03
Very good SHE loves it!!!!,5,Buyer: 3***7 ( 245) ,2013-08-02
Fantastic product. Very pleased. Saved a fortune. Thanks,5,Buyer: t***- ( 21536) ,2013-08-02
"These rings are awesome, great communication....Thank you!!!",5,Buyer: b***l ( 308) ,2013-08-02
Quick turnaround!,5,Buyer: p***l ( 3 ) ,2013-07-30
"Beautiful ring! Thank you! Seller is wonderful, highly recommend!",5,Buyer: 2***2 ( 482) ,2013-07-29
Great seller! Great item!!! Works perfect Xtra fast shipping!!! A++++,5,Buyer: v***t ( 51) ,2013-07-25
beatiful and as described!... received an extra gift!,5,Buyer: d***o ( 451) ,2013-07-25
"Everything was delivered as promised, excellent packing.",5,Buyer: h***u ( 17) ,2013-07-24
6 STAR SELLER!!! Thanks So Much Richard :) Hope to buy from them AGAIN!!!,5,Buyer: e***e ( 965) ,2013-07-23
the purse is cute but smells like vinager!(not good) my fault for not asking!!,5,Buyer: s***0 ( 18) ,2013-07-22
Good fast shipping,5,Buyer: r***s ( 47) ,2013-07-22
A+++ seller!,5,Buyer: r***1 ( 297) ,2013-07-21
Just as described...Beautiful,5,Buyer: d***r ( 99) ,2013-07-21
"A+++++++++++++++++++++Better than expected, great customer service",5,Buyer: n***m ( 360) ,2013-07-19
great product!! the wife is very happy!,5,Buyer: b***m ( 3 ) ,2013-07-19
Thank you! Great quality.. Fast shipping! .I love it!l,5,Buyer: g***r ( 389) ,2013-07-18
Stunning ring! Earrings were a nice bonus as well. ,5,Buyer: l***h ( 129) ,2013-07-18
Extremely pleasantly surprised. Would definitely recommend.,5,Buyer: k***k ( 82) ,2013-07-18
The ring is SSSOOOOOO stunning I don't even want to take it off!!!!!,5,Buyer: v***e ( 1 ) ,2013-07-16
Great Communication & Customer service!!! Thank you!!!,5,Buyer: a***n ( 121) ,2013-07-16
"quality great, beautifully boxed, I'm thoroughly pleased",5,Buyer: o***t ( 660) ,2013-07-14
"excellent quality, beautifully boxed, thank you!",5,Buyer: o***t ( 660) ,2013-07-14
"Item is beautiful, beautiful presentation in boxing, fast delivery, thanks!",5,Buyer: o***t ( 660) ,2013-07-14
